,,,,,,,
Län och kommuner i nummerordning samt motsvarande koder för vissa andra administrativa och icke-administrativa områden 2025-01-01,,,,,,,
,,,,,,,
"Counties and municipalities in numerical order, with corresponding numerical codes ",,,,,,,
for some other administrative and non-administrative subdivisions 2025-01-01,,,,,,,
,,,,,,,
,,,,,,,
Länskod,Länsnamn,Kommunkod,Kommun,Lokal,Funktionell analys-,Kommungrupp,Degree of
,,,,arbetsmarknad,region (Tillväxtanalys),(SKR),urbanisation
County code,County,Municipality code,Municipality,Local labour,Functional analysis,Classification,(DEGURBA)
,,,,market,region,of municipality,
,,,,,,,
,,,,,,,
12,Skåne,1233,Vellinge,LA2317,1,A2,2
12,Skåne,1256,Östra Göinge,LA2318,2,B4,3
12,Skåne,1257,Örkelljunga,LA2317,1,B4,3
12,Skåne,1260,Bjuv,LA2317,1,B4,3
12,Skåne,1261,Kävlinge,LA2317,1,A2,2
12,Skåne,1262,Lomma,LA2317,1,A2,2
12,Skåne,1263,Svedala,LA2317,1,A2,2
12,Skåne,1264,Skurup,LA2317,1,A2,2
12,Skåne,1265,Sjöbo,LA2317,1,B4,3
12,Skåne,1266,Hörby,LA2317,1,B4,3
12,Skåne,1267,Höör,LA2317,1,C7,2
12,Skåne,1270,Tomelilla,LA2317,1,C7,3
12,Skåne,1272,Bromölla,LA2318,2,B4,2
12,Skåne,1273,Osby,LA2307,4,C7,2
12,Skåne,1275,Perstorp,LA2318,1,B4,2
12,Skåne,1276,Klippan,LA2317,1,B4,3
12,Skåne,1277,Åstorp,LA2317,1,B4,2
12,Skåne,1278,Båstad,LA2317,1,C9,3
12,Skåne,1280,Malmö,LA2317,1,A1,1
12,Skåne,1281,Lund,LA2317,1,B3,1
12,Skåne,1282,Landskrona,LA2317,1,B4,2
12,Skåne,1283,Helsingborg,LA2317,1,B3,1
12,Skåne,1284,Höganäs,LA2317,1,B4,2
12,Skåne,1285,Eslöv,LA2317,1,B4,2
12,Skåne,1286,Ystad,LA2317,1,C6,2
12,Skåne,1287,Trelleborg,LA2317,1,A2,2
12,Skåne,1290,Kristianstad,LA2318,2,B3,2
12,Skåne,1291,Simrishamn,LA2317,1,C9,3
12,Skåne,1292,Ängelholm,LA2317,1,B4,2
12,Skåne,1293,Hässleholm,LA2318,2,B5,3
13,Halland,1315,Hylte,LA2319,6,B5,3
